season,abbr,conference,wins,losses,win_pct,points_for,points_against,point_diff,conf_rank
2021,MIA,East,51,29,0.637,8791,8462,329,1
2021,MIL,East,50,30,0.625,9208,8931,277,2
2021,BOS,East,51,31,0.622,9164,8563,601,3
2021,PHI,East,48,31,0.608,8630,8473,157,4
2021,TOR,East,48,32,0.6,8752,8513,239,5
2021,CHI,East,46,33,0.582,8855,8830,25,6
2021,CLE,East,43,37,0.537,8602,8457,145,7
2021,BKN,East,44,39,0.53,9375,9314,61,8
2021,ATL,East,44,40,0.524,9547,9416,131,9
2021,CHA,East,43,39,0.524,9405,9388,17,10
2021,NYK,East,36,46,0.439,8725,8752,-27,11
2021,WAS,East,35,46,0.432,8836,9049,-213,12
2021,IND,East,27,56,0.325,9305,9553,-248,13
2021,DET,East,23,59,0.28,8596,9229,-633,14
2021,ORL,East,23,59,0.28,8562,9221,-659,15
2021,PHX,West,64,18,0.78,9416,8801,615,1
2021,MEM,West,54,26,0.675,9226,8793,433,2
2021,GSW,West,55,27,0.671,9103,8580,523,3
2021,DAL,West,50,30,0.625,8642,8394,248,4
2021,UTA,West,51,33,0.607,9542,9011,531,5
2021,DEN,West,48,33,0.593,9155,8930,225,6
2021,MIN,West,45,37,0.549,9478,9288,190,7
2021,LAC,West,43,39,0.524,8864,8835,29,8
2021,NOP,West,36,46,0.439,8962,9043,-81,9
2021,SAS,West,34,49,0.41,9376,9386,-10,10
2021,LAL,West,32,50,0.39,9088,9416,-328,11
2021,SAC,West,30,53,0.361,9192,9639,-447,12
2021,POR,West,26,56,0.317,8716,9488,-772,13
2021,OKC,West,24,58,0.293,8499,9177,-678,14
2021,HOU,West,19,61,0.237,8728,9408,-680,15
2022,MIL,East,56,23,0.709,9246,8954,292,1
2022,BOS,East,54,24,0.692,9189,8726,463,2
2022,PHI,East,54,28,0.659,9478,9098,380,3
2022,CLE,East,49,31,0.613,9002,8609,393,4
2022,NYK,East,47,35,0.573,9514,9274,240,5
2022,BKN,East,44,37,0.543,9164,9128,36,6
2022,MIA,East,45,39,0.536,9184,9210,-26,7
2022,TOR,East,41,41,0.5,9280,9140,140,8
2022,ATL,East,40,40,0.5,9460,9460,0,9
2022,CHI,East,41,42,0.494,9382,9270,112,10
2022,IND,East,36,47,0.434,9651,9911,-260,11
2022,WAS,East,35,46,0.432,9210,9276,-66,12
2022,ORL,East,33,47,0.412,8915,9115,-200,13
2022,CHA,East,28,53,0.346,9003,9454,-451,14
2022,DET,East,17,65,0.207,9018,9712,-694,15
2022,DEN,West,50,29,0.633,9123,8890,233,1
2022,MEM,West,51,32,0.614,9692,9381,311,2
2022,SAC,West,45,32,0.584,9304,9096,208,3
2022,LAC,West,45,37,0.549,9312,9245,67,4
2022,PHX,West,44,37,0.543,9197,9032,165,5
2022,GSW,West,43,38,0.531,9644,9501,143,6
2022,LAL,West,45,41,0.523,10067,10014,53,7
2022,MIN,West,43,40,0.518,9612,9591,21,8
2022,NOP,West,42,41,0.506,9496,9346,150,9
2022,OKC,West,41,41,0.5,9650,9561,89,10
2022,DAL,West,36,44,0.45,9121,9135,-14,11
2022,UTA,West,36,44,0.45,9379,9465,-86,12
2022,POR,West,33,48,0.407,9191,9501,-310,13
2022,SAS,West,23,59,0.28,9312,10094,-782,14
2022,HOU,West,22,58,0.275,8863,9470,-607,15
2023,BOS,East,63,18,0.778,9761,8860,901,1
2023,NYK,East,49,31,0.613,9024,8649,375,2
2023,CLE,East,47,33,0.588,9013,8789,224,3
2023,PHI,East,47,34,0.58,9248,9007,241,4
2023,MIL,East,47,34,0.58,9625,9418,207,5
2023,ORL,East,47,35,0.573,9029,8880,149,6
2023,IND,East,46,36,0.561,10062,9831,231,7
2023,MIA,East,45,37,0.549,9030,8875,155,8
2023,CHI,East,39,44,0.47,9334,9485,-151,9
2023,ATL,East,36,45,0.444,9550,9730,-180,10
2023,BKN,East,32,50,0.39,9040,9278,-238,11
2023,TOR,East,25,57,0.305,9192,9707,-515,12
2023,CHA,East,21,61,0.256,8759,9593,-834,13
2023,DET,East,14,66,0.175,8793,9529,-736,14
2023,WAS,East,14,66,0.175,9102,9865,-763,15
2023,MIN,West,57,25,0.695,9284,8709,575,1
2023,OKC,West,56,25,0.691,9711,9110,601,2
2023,DEN,West,56,26,0.683,9385,8991,394,3
2023,LAC,West,51,32,0.614,9581,9306,275,4
2023,PHX,West,49,33,0.598,9515,9276,239,5
2023,DAL,West,49,33,0.598,9627,9506,121,6
2023,NOP,West,50,34,0.595,9647,9282,365,7
2023,LAL,West,48,34,0.585,9667,9615,52,8
2023,GSW,West,45,36,0.556,9504,9318,186,9
2023,SAC,West,46,39,0.541,9860,9728,132,10
2023,HOU,West,41,40,0.506,9268,9156,112,11
2023,UTA,West,31,48,0.392,9150,9492,-342,12
2023,MEM,West,27,55,0.329,8674,9251,-577,13
2023,SAS,West,23,57,0.287,9011,9490,-479,14
2023,POR,West,22,59,0.272,8617,9337,-720,15
2024,CLE,East,67,17,0.798,10276,9434,842,1
2024,BOS,East,61,21,0.744,9542,8801,741,2
2024,NYK,East,54,30,0.643,9787,9409,378,3
2024,IND,East,47,32,0.595,9251,9090,161,4
2024,MIL,East,49,35,0.583,9670,9474,196,5
2024,DET,East,42,39,0.519,9370,9239,131,6
2024,ORL,East,42,39,0.519,8585,8518,67,7
2024,CHI,East,40,43,0.482,9760,9882,-122,8
2024,MIA,East,40,45,0.471,9421,9328,93,9
2024,ATL,East,39,45,0.464,9900,10063,-163,10
2024,TOR,East,30,51,0.37,8983,9347,-364,11
2024,BKN,East,26,56,0.317,8610,9201,-591,12
2024,PHI,East,24,58,0.293,8961,9487,-526,13
2024,CHA,East,19,63,0.232,8610,9369,-759,14
2024,WAS,East,18,65,0.217,8970,10017,-1047,15
2024,OKC,West,68,15,0.819,9975,8938,1037,1
2024,HOU,West,52,29,0.642,9253,8882,371,2
2024,LAC,West,50,32,0.61,9265,8845,420,3
2024,DEN,West,50,33,0.602,10023,9698,325,4
2024,LAL,West,50,33,0.602,9417,9329,88,5
2024,MIN,West,48,33,0.593,9234,8849,385,6
2024,MEM,West,48,35,0.578,10115,9700,415,7
2024,GSW,West,48,35,0.578,9433,9175,258,8
2024,DAL,West,41,44,0.482,9696,9795,-99,9
2024,SAC,West,40,44,0.476,9729,9703,26,10
2024,PHX,West,35,46,0.432,9199,9447,-248,11
2024,SAS,West,35,48,0.422,9454,9681,-227,12
2024,POR,West,34,48,0.415,9066,9394,-328,13
2024,NOP,West,22,59,0.272,8926,9657,-731,14
2024,UTA,West,18,64,0.22,9193,9922,-729,15
